position_id,trader_id,strategy_id,instrument_id,account_id,opening_order_id,closing_order_id,entry,side,quantity,peak_qty,ts_init,ts_opened,ts_last,ts_closed,duration_ns,avg_px_open,avg_px_close,commissions,realized_return,realized_pnl,is_snapshot
NVDA.NYSE-EMACrossStrategy-000-63c6fa99-bec7-40fc-9ee4-b6a57fcd7d57,BACKTESTER-001,EMACrossStrategy-000,NVDA.NYSE,NYSE-001,O-20220217-000000-001-000-1,O-20220218-000000-001-000-2,BUY,FLAT,0,100,1645056000000000000,2022-02-17 00:00:00+00:00,1645142400000000000,2022-02-18 00:00:00+00:00,86400000000000,26.46,24.46,['0.00 USD'],-0.07559,-200.00 USD,True
NVDA.NYSE-EMACrossStrategy-000-0977ebbb-849d-492d-9d29-fbd468f7ff88,BACKTESTER-001,EMACrossStrategy-000,NVDA.NYSE,NYSE-001,O-20220319-000000-001-000-3,O-20220409-000000-001-000-4,BUY,FLAT,0,100,1647648000000000000,2022-03-19 00:00:00+00:00,1649462400000000000,2022-04-09 00:00:00+00:00,1814400000000000,26.41,23.08,['0.00 USD'],-0.12609,-333.00 USD,True
NVDA.NYSE-EMACrossStrategy-000-109c07de-363c-4ba0-9638-3365b45d4a18,BACKTESTER-001,EMACrossStrategy-000,NVDA.NYSE,NYSE-001,O-20220607-000000-001-000-5,O-20220611-000000-001-000-6,BUY,FLAT,0,100,1654560000000000000,2022-06-07 00:00:00+00:00,1654905600000000000,2022-06-11 00:00:00+00:00,345600000000000,18.75,16.95,['0.00 USD'],-0.096,-180.00 USD,True
NVDA.NYSE-EMACrossStrategy-000-7cbcfbe5-32c1-4c6d-a874-6b3c33e38239,BACKTESTER-001,EMACrossStrategy-000,NVDA.NYSE,NYSE-001,O-20220721-000000-001-000-7,O-20220825-000000-001-000-8,BUY,FLAT,0,100,1658361600000000000,2022-07-21 00:00:00+00:00,1661385600000000000,2022-08-25 00:00:00+00:00,3024000000000000,17.78,17.2,['0.00 USD'],-0.03262,-58.00 USD,True
NVDA.NYSE-EMACrossStrategy-000-2c9a9452-7920-47e1-9298-3c51dd4add35,BACKTESTER-001,EMACrossStrategy-000,NVDA.NYSE,NYSE-001,O-20221028-000000-001-000-9,O-20221224-000000-001-000-10,BUY,FLAT,0,100,1666915200000000000,2022-10-28 00:00:00+00:00,1671840000000000000,2022-12-24 00:00:00+00:00,4924800000000000,13.16,15.19,['0.00 USD'],0.15426,203.00 USD,True
NVDA.NYSE-EMACrossStrategy-000-a3648958-1772-417a-99a4-bc0f5bf6eaa0,BACKTESTER-001,EMACrossStrategy-000,NVDA.NYSE,NYSE-001,O-20230114-000000-001-000-11,O-20230811-000000-001-000-12,BUY,FLAT,0,100,1673654400000000000,2023-01-14 00:00:00+00:00,1691712000000000000,2023-08-11 00:00:00+00:00,18057600000000000,16.88,42.36,['0.00 USD'],1.50948,2548.00 USD,True
NVDA.NYSE-EMACrossStrategy-000-b7b644a0-806c-4c8f-b714-0fa3961e3173,BACKTESTER-001,EMACrossStrategy-000,NVDA.NYSE,NYSE-001,O-20230822-000000-001-000-13,O-20230915-000000-001-000-14,BUY,FLAT,0,100,1692662400000000000,2023-08-22 00:00:00+00:00,1694736000000000000,2023-09-15 00:00:00+00:00,2073600000000000,46.93,45.55,['0.00 USD'],-0.02941,-138.00 USD,True
NVDA.NYSE-EMACrossStrategy-000-c1da51c5-c2d0-40ef-bb9f-f4e611c88d87,BACKTESTER-001,EMACrossStrategy-000,NVDA.NYSE,NYSE-001,O-20231010-000000-001-000-15,O-20231020-000000-001-000-16,BUY,FLAT,0,100,1696896000000000000,2023-10-10 00:00:00+00:00,1697760000000000000,2023-10-20 00:00:00+00:00,864000000000000,45.24,42.07,['0.00 USD'],-0.07007,-317.00 USD,True
NVDA.NYSE-EMACrossStrategy-000-20634c76-b4cf-4116-a12e-4e938d5554d1,BACKTESTER-001,EMACrossStrategy-000,NVDA.NYSE,NYSE-001,O-20231107-000000-001-000-17,O-20231207-000000-001-000-18,BUY,FLAT,0,100,1699315200000000000,2023-11-07 00:00:00+00:00,1701907200000000000,2023-12-07 00:00:00+00:00,2592000000000000,45.72,45.48,['0.00 USD'],-0.00525,-24.00 USD,True
NVDA.NYSE-EMACrossStrategy-000-1bddd861-12a5-44ad-b4a1-7f5cf141c971,BACKTESTER-001,EMACrossStrategy-000,NVDA.NYSE,NYSE-001,O-20231213-000000-001-000-19,O-20240418-000000-001-000-20,BUY,FLAT,0,100,1702425600000000000,2023-12-13 00:00:00+00:00,1713398400000000000,2024-04-18 00:00:00+00:00,10972800000000000,47.63,83.99,['0.00 USD'],0.76338,3636.00 USD,True
NVDA.NYSE-EMACrossStrategy-000-eff2dadf-3d70-4e77-903b-b81cb989a3af,BACKTESTER-001,EMACrossStrategy-000,NVDA.NYSE,NYSE-001,O-20240504-000000-001-000-21,O-20240720-000000-001-000-22,BUY,FLAT,0,100,1714780800000000000,2024-05-04 00:00:00+00:00,1721433600000000000,2024-07-20 00:00:00+00:00,6652800000000000,88.74,117.88,['0.00 USD'],0.32838,2914.00 USD,True
NVDA.NYSE-EMACrossStrategy-000-2c26e219-8c0f-4362-8666-f25a87bf9454,BACKTESTER-001,EMACrossStrategy-000,NVDA.NYSE,NYSE-001,O-20240817-000000-001-000-23,O-20240905-000000-001-000-24,BUY,FLAT,0,100,1723852800000000000,2024-08-17 00:00:00+00:00,1725494400000000000,2024-09-05 00:00:00+00:00,1641600000000000,124.53,106.16,['0.00 USD'],-0.14751,-1837.00 USD,True
NVDA.NYSE-EMACrossStrategy-000-207f3021-e7c1-4c7d-b098-d68b0a0e6e86,BACKTESTER-001,EMACrossStrategy-000,NVDA.NYSE,NYSE-001,O-20240925-000000-001-000-25,O-20241128-000000-001-000-26,BUY,FLAT,0,100,1727222400000000000,2024-09-25 00:00:00+00:00,1732752000000000000,2024-11-28 00:00:00+00:00,5529600000000000,120.83,135.29,['0.00 USD'],0.11967,1446.00 USD,True
NVDA.NYSE-EMACrossStrategy-000,BACKTESTER-001,EMACrossStrategy-000,NVDA.NYSE,NYSE-001,O-20241206-000000-001-000-27,O-20241211-000000-001-000-28,BUY,FLAT,0,100,1733443200000000000,2024-12-06 00:00:00+00:00,1733875200000000000,2024-12-11 00:00:00+00:00,432000000000000,145.02,135.03,['0.00 USD'],-0.06889,-999.00 USD,False
